챔피언 이름,챔피언 영어 이름,포지션,픽률(%),승률(%)
가렌,garen,탑,3.63,49.61
갈리오,galio,미드,5.9,53.05
갱플랭크,gangplank,탑,4.1,49.63
그라가스,gragas,서폿,2.66,49.54
그레이브즈,graves,정글,11.5,46.67
나르,gnar,탑,9.87,49.37
나미,nami,서폿,1.48,49.88
나서스,nasus,탑,2.47,51.09
노틸러스,nautilus,서폿,7.91,49.86
녹턴,nocturne,정글,2.6,49.78
누누와 윌럼프,nunu,정글,3.79,52.08
니달리,nidalee,정글,14.43,48.24
니코,neeko,미드,1.16,51.95
다리우스,darius,탑,5.09,51.44
다이애나,diana,미드,2.13,51.03
드레이븐,draven,원딜,1.68,49.98
라이즈,ryze,탑,2.52,45.41
라칸,rakan,서폿,3.15,49.6
람머스,rammus,정글,1.78,50.52
럭스,lux,서폿,3.34,48.09
럼블,rumble,미드,1.86,51.03
레넥톤,renekton,탑,9.39,49.57
레오나,leona,서폿,12.56,51.94
렉사이,reksai,정글,4.74,51.83
렐,rell,서폿,4.78,47.91
렝가,rengar,탑,1.87,50.73
루시안,lucian,미드,4.87,46.03
룰루,lulu,서폿,12.64,50.69
르블랑,leblanc,미드,5.23,49.69
리 신,leesin,정글,23.41,49.22
리븐,riven,탑,3.92,51.59
리산드라,lissandra,미드,1.82,50.49
릴리아,lillia,정글,5.81,46.36
마스터 이,masteryi,정글,2.45,47.72
마오카이,maokai,서폿,5.98,52.49
말자하,malzahar,미드,1.36,52.27
말파이트,malphite,탑,6.82,51.22
모데카이저,mordekaiser,탑,4.36,49.77
모르가나,morgana,서폿,6.88,49.8
문도 박사,drmundo,정글,3.54,49.67
미스 포츈,missfortune,원딜,2.26,50.34
바드,bard,서폿,3.73,51.57
바루스,varus,원딜,6.54,50.18
바이,vi,정글,1.54,50.32
베이가,veigar,미드,0.89,52.85
베인,vayne,원딜,9.93,50.86
벨코즈,velkoz,서폿,1.27,49.98
볼리베어,volibear,탑,4.82,51.56
브라움,braum,서폿,2.53,48.84
브랜드,brand,서폿,1.51,48.31
블라디미르,vladimir,탑,1.73,50.57
블리츠크랭크,blitzcrank,서폿,11.59,50.39
비에고,viego,정글,7.26,48.73
빅토르,viktor,미드,5.72,49.9
뽀삐,poppy,정글,3.84,51.46
사미라,samira,원딜,22.55,50.08
사이온,sion,탑,4.81,52.19
사일러스,sylas,미드,12.25,49.74
샤코,shaco,정글,6.06,52.3
세나,senna,서폿,14.51,52.19
세라핀,seraphine,서폿,5.06,47.9
세주아니,sejuani,정글,1.65,50.76
세트,sett,탑,4.67,49.42
소나,sona,서폿,0.67,49.27
소라카,soraka,서폿,2.58,49.47
쉔,shen,탑,4.22,52.22
쉬바나,shyvana,정글,0.76,48.12
스웨인,swain,서폿,2.23,48.8
스카너,skarner,정글,0.97,49.97
시비르,sivir,원딜,5.37,50.95
신 짜오,xinzhao,정글,6.51,51.33
신드라,syndra,미드,2.17,46.35
신지드,singed,탑,1.39,51.87
쓰레쉬,thresh,서폿,24.94,52.08
아리,ahri,미드,4.85,52.01
아무무,amumu,정글,0.84,47.38
아우렐리온 솔,aurelionsol,미드,0.67,53.56
아이번,ivern,정글,0.93,53.36
아지르,azir,미드,1.18,47.84
아칼리,akali,미드,7.42,46.2
아트록스,aatrox,탑,10.23,49.96
아펠리오스,aphelios,원딜,5.25,46.57
알리스타,alistar,서폿,12.92,49.29
애니,annie,미드,1.22,53.3
애니비아,anivia,미드,3.53,52.23
애쉬,ashe,원딜,5.33,50.86
야스오,yasuo,미드,7.76,49.76
에코,ekko,정글,4.9,49.84
엘리스,elise,정글,12.39,53.31
오공,wukong,탑,3.31,51.93
오른,ornn,탑,4.45,52.1
오리아나,orianna,미드,5.2,48.49
올라프,olaf,정글,3.37,50.26
요네,yone,미드,8.7,48.32
요릭,yorick,탑,6.16,50.42
우디르,udyr,정글,8,50.86
우르곳,urgot,탑,1.69,51.1
워윅,warwick,정글,1.98,50.39
유미,yuumi,서폿,6.29,47.46
이렐리아,irelia,탑,8.23,46.29
이블린,evelynn,정글,3.33,52.13
이즈리얼,ezreal,원딜,30.32,48.38
일라오이,illaoi,탑,0.87,48.79
자르반 4세,jarvaniv,정글,2.54,49.15
자야,xayah,원딜,3.75,47.96
자이라,zyra,서폿,1.66,51.01
자크,zac,정글,1.94,50.2
잔나,janna,서폿,2.48,51.18
잭스,jax,탑,5.06,50.05
제드,zed,미드,11,50.73
제라스,xerath,서폿,3.92,48.96
제이스,jayce,탑,8.1,48.82
조이,zoe,미드,5.25,48.66
진,jhin,원딜,5.69,50.63
질리언,zilean,서폿,3.57,51.29
징크스,jinx,원딜,25.6,51.92
초가스,chogath,탑,1.9,50.25
카르마,karma,서폿,5.57,48.33
카밀,camille,탑,5.34,50.21
카사딘,kassadin,미드,2.9,49.63
카서스,karthus,정글,4.84,51.92
카시오페아,cassiopeia,미드,1.56,50.01
카이사,kaisa,원딜,34.72,49.8
카직스,khazix,정글,4.44,50.91
카타리나,katarina,미드,8.55,52.43
칼리스타,kalista,원딜,2.07,49.46
케넨,kennen,탑,1.76,49.84
케이틀린,caitlyn,원딜,9.55,49.75
케인,kayn,정글,5.76,48.65
케일,kayle,탑,0.85,50.43
코그모,kogmaw,원딜,1.15,50.61
코르키,corki,미드,1.35,49.22
퀸,quinn,탑,1.33,51.39
클레드,kled,탑,2.11,51.24
키아나,qiyana,미드,8.51,49.89
킨드레드,kindred,정글,7.26,49.01
타릭,taric,서폿,0.75,49.51
탈론,talon,미드,8.15,51.29
탈리야,taliyah,정글,3.72,51.99
탐 켄치,tahmkench,원딜,0.7,53.17
트런들,trundle,정글,0.56,47.14
트리스타나,tristana,원딜,10.87,50.31
트린다미어,tryndamere,탑,1.26,49.99
트위스티드 페이트,twistedfate,미드,9.87,50.13
트위치,twitch,원딜,1.33,51.59
티모,teemo,탑,1.82,49.92
파이크,pyke,서폿,6.79,49.32
판테온,pantheon,미드,4.19,52.7
피들스틱,fiddlesticks,정글,3.47,52.73
피오라,fiora,탑,7.55,49.43
피즈,fizz,미드,4.07,50.44
하이머딩거,heimerdinger,탑,1.08,51.82
헤카림,hecarim,정글,14.71,51.88
